frame,t_s,base_x,base_y,r,score,knob_x,knob_y,dist
639,10.6333,997.7,1582.8,165,45.21,1109.7,1444.8,177.7
640,10.6500,997.7,1582.8,165,45.19,1109.7,1444.8,177.7
641,10.6667,997.7,1582.6,165,45.07,1109.7,1444.6,177.7
642,10.6833,997.7,1582.6,165,45.08,1109.7,1444.6,177.7
643,10.7000,997.9,1583.1,165,45.30,1110.9,1445.1,178.4
644,10.7167,998.0,1582.1,165,45.25,1111.0,1445.1,177.6
645,10.7333,998.1,1582.0,165,45.17,1111.1,1445.0,177.6
646,10.7500,997.8,1582.0,165,44.95,1110.8,1445.0,177.6
647,10.7667,998.7,1582.0,165,44.83,1110.7,1445.0,177.0
648,10.7833,999.2,1582.4,165,45.01,1110.2,1444.4,177.1
649,10.8000,998.7,1582.7,165,44.99,1109.7,1444.7,177.1
650,10.8167,998.7,1582.5,165,45.02,1109.7,1444.5,177.1
651,10.8333,998.4,1582.2,165,45.03,1109.4,1444.2,177.1
652,10.8500,998.1,1581.7,165,45.07,1109.1,1443.7,177.1
653,10.8667,999.2,1581.5,165,44.58,1109.2,1443.5,176.5
654,10.8833,999.4,1581.5,165,44.96,1109.4,1442.5,177.3
655,10.9000,999.6,1580.3,165,44.58,1109.6,1442.3,176.5
656,10.9167,1000.5,1580.5,165,44.54,1109.5,1441.5,176.6
657,10.9333,1000.7,1580.5,165,44.57,1109.7,1441.5,176.6
