frame,blob_id,cx,cy,w,h,area
869,3,1003.1,1388.5,104,124,3296
870,0,1221.0,1101.2,76,88,2816
870,1,1202.2,1230.8,104,128,3328
870,2,1024.4,1263.4,76,88,2976
870,3,1012.6,1397.2,104,124,3248
871,0,1232.1,1108.5,80,84,2864
871,1,1211.9,1239.2,104,124,3328
871,2,1035.1,1271.7,84,88,3136
871,3,1023.8,1405.9,104,128,3312
872,0,1243.8,1116.4,80,84,2848
872,1,1220.9,1247.9,108,124,3424
872,2,1047.1,1279.7,80,88,3136
872,3,1035.0,1414.8,104,128,3296
873,0,1256.2,1123.7,80,84,2832
873,1,1233.0,1255.5,108,128,3440
873,2,1059.5,1288.0,80,88,3152
873,3,1046.6,1422.8,104,128,3392
874,0,1268.0,1130.2,80,88,2800
874,1,1244.2,1263.4,108,128,3456
874,2,1071.6,1295.6,80,88,3184
874,3,1058.2,1430.7,108,128,3376
875,0,1280.3,1136.9,80,88,2880
875,1,1255.7,1270.6,112,128,3376
875,2,1084.1,1304.5,80,88,3216
875,3,1070.1,1437.5,108,128,3424
876,0,1292.5,1144.6,64,88,2800
876,1,1268.3,1276.9,112,128,3408
876,2,1097.0,1312.4,80,88,3264
876,3,1082.5,1446.6,108,128,3456
877,0,1300.2,1150.3,52,84,2128
877,1,1281.0,1283.5,104,124,3360
877,2,1110.3,1321.0,80,92,3232
877,3,1094.7,1455.5,108,128,3472
878,0,1290.2,1296.1,92,116,3152
878,1,1124.4,1329.2,80,92,3328
878,2,1107.4,1463.1,112,128,3360
879,0,1292.2,1313.7,80,108,2160
879,1,1137.3,1336.9,80,92,3296
879,2,1118.7,1467.3,104,128,2816
880,0,1151.6,1345.8,80,92,3264
880,1,1133.7,1477.2,104,128,2704
881,0,1161.7,1352.1,80,92,2768
881,1,1144.7,1493.2,104,120,2944
882,0,1177.2,1360.4,80,88,2640
882,1,1158.5,1496.6,108,128,3600
883,0,1193.0,1371.1,80,92,2832
883,1,1168.7,1502.6,116,124,3904
884,0,1194.1,1453.2,136,220,7024
