frame,t_s,dxA,dyA,peakA,dxB,dyB,peakB
749,12.4667,-13.19,-0.25,82.4,-19.96,-0.10,77.4
750,12.4833,-12.12,-0.07,89.9,-0.03,0.00,64.9
751,12.5000,-10.44,0.01,99.6,0.02,-16.13,98.2
752,12.5167,-12.01,-0.01,88.8,-0.04,-16.01,100.0
753,12.5333,-13.75,0.27,72.6,0.01,-14.28,76.4
754,12.5500,-14.01,1.21,63.0,0.13,-14.03,85.4
755,12.5667,-13.82,1.78,72.5,-13.95,-0.01,131.2
756,12.5833,0.00,0.02,116.8,2.02,-13.93,47.9
757,12.6000,-12.59,2.16,49.6,-11.90,-0.01,111.2
758,12.6167,0.01,-0.02,124.4,0.06,-9.90,107.3
759,12.6333,-0.02,0.01,99.5,-0.29,-8.01,54.0
760,12.6500,-12.17,3.97,97.6,51.92,-56.10,17.4
761,12.6667,-12.08,4.16,131.1,0.88,-8.01,107.3
762,12.6833,-11.82,4.23,105.7,1.77,-7.96,134.6
763,12.7000,-11.87,4.34,110.4,0.02,-5.98,104.6
764,12.7167,-11.63,4.52,96.2,0.72,-6.17,46.7
765,12.7333,-11.50,4.92,80.4,-0.21,-4.86,56.1
766,12.7500,-11.45,5.32,95.3,1.39,-6.00,72.7
767,12.7667,-11.39,5.50,97.1,-0.04,-4.10,81.8
